ProductURL,ProductName,RootCate,SubCate,CurrentPrice,TimeStamp
https://www.target.com/p/-/A-78259749,1349 - Infernal Pathway (CD),"Movies, Music & Books",Music,18.39,22/01/2022 23:20:13
https://www.target.com/p/-/A-79414092,The Letter for the King (Netflix Original Series Tie-In) - by  Tonke Dragt (Paperback),"Movies, Music & Books",Pre-teen Books,7.66,22/01/2022 23:20:16
https://www.target.com/p/-/A-76871670,Escape in the Fog (DVD)(2012),"Movies, Music & Books",Movies,18.39,22/01/2022 23:20:20
https://www.target.com/p/-/A-81809899,"3M Anti-glare Filter f/24"" Wide-screens 16:10 Clear AG240W1B",Electronics,Monitor Stands & Accessories,66.05,22/01/2022 23:20:23
https://www.target.com/p/-/A-52781104,Rusty Young - Waitin' For The Sun (CD),"Movies, Music & Books",Music,13.99,22/01/2022 23:20:26
https://www.target.com/p/-/A-11539259,Duck &#38; Goose Find a Pumpkin by Tad Hills (Board Book),"Movies, Music & Books",Baby & Toddler Books,6.29,22/01/2022 23:20:29
https://www.target.com/p/-/A-75878433,Meinl MEINL Sonic Energy Sidereal Moon Energy Chime,Musical Instruments,Concert Percussion,24.99,22/01/2022 23:20:31
https://www.target.com/p/-/A-78415048,V7 4-Button Wireless Optical Mouse with Adjustable DPI - Black - Optical - Wireless - Radio Frequency - 2.40 GHz - Black - USB - 1600 dpi,Electronics,Tech Accessories,23.99,22/01/2022 23:20:34
https://www.target.com/p/-/A-51896063,My Sister's Bones -  by Nuala Ellwood (Paperback),"Movies, Music & Books",Fiction,12.34,22/01/2022 23:20:36
https://www.target.com/p/-/A-52995342,Master P - Ghetto D (2 LP) (EXPLICIT LYRICS) (Vinyl),"Movies, Music & Books",Vinyl Records,23.99,22/01/2022 23:20:39
https://www.target.com/p/-/A-82289320,QVS 1-Meter Ultra High Speed HDMI UltraHD 8K with Ethernet Cable,Electronics,HDMI Cables,23.99,22/01/2022 23:20:42
https://www.target.com/p/-/A-81920496,As the Crow Flies - by  Jeffrey Archer (Paperback),"Movies, Music & Books",Fiction,9.99,22/01/2022 23:20:44
https://www.target.com/p/-/A-80179027,"Targus VersaType for iPad 8th/7th Gen 10.2&#34;, iPad Air 10.5&#34;, and iPad Pro 10.5&#34; - Black",Electronics,Tech Accessories,77.99,22/01/2022 23:20:47
https://www.target.com/p/-/A-78440632,Squidlings Around the World (DVD)(2019),"Movies, Music & Books",Movies,13.49,22/01/2022 23:20:49
https://www.target.com/p/-/A-78574001,My Bible Stories Coloring Book 2 - by  Juliet David (Paperback),"Movies, Music & Books",Kids' Books,7.99,22/01/2022 23:20:52
https://www.target.com/p/-/A-80821397,Geometry Part 1 - 2nd Edition by  Barcharts Inc (Poster),"Movies, Music & Books",Textbooks,6.95,22/01/2022 23:20:55
https://www.target.com/p/-/A-80823337,The Principal's Guide to Curriculum Leadership - by  Richard D Sorenson & Lloyd M Goldsmith & Zulma Y Mendez & Karen T Maxwell (Paperback),"Movies, Music & Books",Non-Fiction,43.95,22/01/2022 23:20:57
https://www.target.com/p/-/A-80618171,Jefferson Starship - Mother Of The Sun (Special Packaging) (CD),"Movies, Music & Books",Music,18.29,22/01/2022 23:21:00
https://www.target.com/p/-/A-53930351,Godard Mon Amour (DVD)(2018),"Movies, Music & Books",Movies,13.49,22/01/2022 23:21:04
https://www.target.com/p/-/A-11924241,Robin Harris - Be-Be's Kids (CD),"Movies, Music & Books",Music,11.99,22/01/2022 23:21:07
https://www.target.com/p/-/A-11586821,Alan Parsons Project - Essential (CD),"Movies, Music & Books",Music,12.29,22/01/2022 23:21:09
https://www.target.com/p/-/A-82077996,Thermaltake M300 Medium Gaming Mouse Pad,Electronics,Mice & Keyboards,11.99,22/01/2022 23:21:12
https://www.target.com/p/-/A-79325906,&#39;WC&#39; Wall Sign White/Black - Hearth &#38; Hand&#8482; with Magnolia,Home,Wall Accents,7.99,22/01/2022 23:21:14
https://www.target.com/p/-/A-77842986,An Introduction to the Old Testament Historical Books - by  David M Howard Jr (Hardcover),"Movies, Music & Books",Non-Fiction,25.49,22/01/2022 23:21:17
https://www.target.com/p/-/A-52318994,Various - Cover Stories: Brandi Carlile Celebrates 10 Years Of The Story (An Album To Benefit War Child) (CD),"Movies, Music & Books",Music,10.19,22/01/2022 23:21:20
https://www.target.com/p/-/A-81520088,Pj Masks Take-Along Adventures! - by  Various (Paperback),"Movies, Music & Books",Kids' Books,16.39,22/01/2022 23:21:23
https://www.target.com/p/-/A-52761693,Culture - Two Sevens Clash (CD),"Movies, Music & Books",Music,19.99,22/01/2022 23:21:27
https://www.target.com/p/-/A-81679466,iFi Audio iPower 15V Low Noise DC Power Supply,Electronics,Headphones,49.0,22/01/2022 23:21:29
https://www.target.com/p/-/A-76175273,KJOS Standard Of Excellence for Jazz Ensemble 1st Alto Sax,Top Deals,10% off One Select Electronic Item or Video Game with Target Circle,14.95,22/01/2022 23:21:32
https://www.target.com/p/-/A-77529018,Chase Atlantic - PHASES (CD),"Movies, Music & Books",Music,13.69,22/01/2022 23:21:34
https://www.target.com/p/-/A-54495318,Todd Dulaney - To Africa with Love (CD),"Movies, Music & Books",Music,13.79,22/01/2022 23:21:37
https://www.target.com/p/-/A-78682125,Dora The Explorer: Christmas Carol Adventure / Christmas (DVD)(2009),"Movies, Music & Books",Movies,15.49,22/01/2022 23:21:39
https://www.target.com/p/-/A-76430217,Loamlands - Lez Dance (CD),"Movies, Music & Books",Music,11.39,22/01/2022 23:21:42
https://www.target.com/p/-/A-78486440,A Reasonable Response - by  William Lane Craig & Joseph E Gorra (Paperback),"Movies, Music & Books",Non-Fiction,21.99,22/01/2022 23:21:45
https://www.target.com/p/-/A-78063491,"Monoprice 2-Male to 1-Female RCA Y-Adapter - 1 Feet - Black | Gold Plated Connectors, Double Shielded With Copper Braiding - Onix Series",Electronics,TV Accessories,13.49,22/01/2022 23:21:48
https://www.target.com/p/-/A-77333688,Destruction - Born To Perish (CD),"Movies, Music & Books",Music,12.99,22/01/2022 23:21:51
https://www.target.com/p/-/A-80822386,The Oxford English-Hebrew Dictionary - (Paperback),"Movies, Music & Books",Foreign Language,70.0,22/01/2022 23:21:53
